Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Rice Paper Wraps,116897,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Artichoke Hearts,123872,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Green Lettuce,1738,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Prosciutto,39528,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,n,,,,,n,n,n,
Unsweetened Applesauce,4184,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Extract,5960,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Chia Jam,,,,,n,,,,,,,,,n,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,n,,n,,,,,,
Fresh Peas,2908,,,,n,,,,,,,,,,,,,n,,n,,n,,,n,,,n,,,,,,,,n,,,,,,,,,,,,,,
Black Peppercorns,61929,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Raw Peanuts,4919,,,n,n,,,,,,,,,n,,,,,,n,,,,n,n,n,n,n,,,,n,,,,n,,,,,,,,,,,,,,
Romaine Hearts,1736,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Alfalfa Sprouts,873,,,,,,,,,,,,,,,,,,,n,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Halibut Fillet,6689,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Water,6647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tea,4406,,,,,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Coffee,4379,,,,n,,,,,,,,,n,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Cherries,4208,,,n,,,,,,,,,,,n,,,n,,,,n,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Plum,2438,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
"Cream, Half & Half",3744,,,n,n,,,,,,,n,,n,,,,,n,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Sparkling Water,6647,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Nectarine,2403,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Corn on the Cob,121174,,,n,n,,,,,,n,,,n,,,n,n,,,,n,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Macadamia Nut Butter,79215,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,n,,,,,,,,,,,,,,,,,,
Sun Dried Tomatoes,1056,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Acai Powder,73763,,,,,,,,,,,,,,n,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Blueberries,6439,,,n,,,,,,,,,,,n,,,n,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Small Bocconcini,109738,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Endive,901,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Fig,5510,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Thighs,6116,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Pureed Pumpkin,939,,,n,,,,,,,,,,,,,,n,,,,,,n,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Baking Powder,5292,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,
French Shallot,2988,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Turkey Breast,7004,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,n,,n,n,
Frozen Cranberries,4211,,,n,,,,,,,,,,,n,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Twine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oat Flour,50064,,,n,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,,,,
Arrowroot Powder,74742,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Pumpkin Pie Spice,3821,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Coconut Ice Cream,261931,,,n,,,,,,n,,,,n,,,,n,,,,n,n,,,n,n,n,n,,,,,,,,,,,,,n,,n,,,n,,,
Acorn Squash,961,,,n,,,,,,,,,,,,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Sausage,7094,n,,n,,,,n,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,n,,n,,,,,n,,,,,n,n,n,
Ground Ginger,3415,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Ground Sage,3424,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Garam Masala,71939,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Capers,4727,,,,,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,,,,,,n,,,
Tomato Paste,2948,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Dry Red Lentils,261441,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Shiitake Mushrooms,926,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Chicken Broth,7025,n,,,,,,n,,,,,,,,,,,,,,,,n,,n,,,,,,,,,n,,n,,,,,,,,,,,n,n,
Ground Cloves,3810,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,n,,,,,,,
Canned Whole Tomatoes,39131,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,n,,,
Lentils,4910,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Green Cabbage,2464,,,,,,,,,,,,,,,,,,,,,n,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Stick,178355,,,,,,,,,,,,,,,,,,,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Corn,2488,,,n,n,,,,,,n,,,n,,,n,n,,,,n,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Mini Peppers,123537,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Refried Beans,4927,n,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,n,n,,,,,,n,,,,,n,,,
Pork Tenderloin,738,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Cod Fillet,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Swiss Chard,2480,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Sauerkraut,1768,,,,,,,,,,,,,,,,,,,,,n,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,
Kimchi,2881,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,,,,,,,,,n,,,,,,,
Chives,2483,n,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,n,,,,,,,,,,,,,,,
Top Sirloin Beef Roast,5541,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Rice Puffs Cereal,6401,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Brie Cheese,4666,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Boston Lettuce,918,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Haddock Fillet,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Frozen Raspberries,698,,,n,,,,,,,,,,,n,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Ground Mustard,3418,,,,n,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Barbecue Sauce,7012,n,,n,n,,,,,,,,,n,,,,n,,,,,n,n,n,n,n,n,n,,n,,,,n,n,,,,,,n,,n,n,,n,,,
Cedar Plank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozzarella Ball,3334,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Pork Ribs,731,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Chicken Drumsticks,4862,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Gelatin,166679,,,,,,n,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,n,n,n,
NY Striploin Steak,7223,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Popsicle Sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Protein Powder,5669,,,,n,,,,,,,,,,,,,,,,,,,,n,n,n,,n,,,,,,,,,,,,,n,,,,,n,,,
Baby Carrots,126144,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Delicata Squash,961,,,n,,,,,,,,,,,,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Fennel,1874,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Heirloom Carrots,2882,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Grain-Free Flax Bread,,,,,n,,,,,n,,,,n,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Brown Rice Flour,1387,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,,,,
Stevia Powder,53161,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,,,,,,,,,,,n,,,,,,,,
Mini Potatoes,2515,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,n,,,,n,,,,,,,,,,,n,,,,,,,,
Extra Lean Ground Beef,6519,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Plantain,1619,,,n,,,,,,,,,,,n,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Rapini,2870,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Cardamom Seeds,63290,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Whole Cloves,63317,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,n,,,,,,,
Chocolate Protein Powder,5669,,,,n,,,,,,,,,,,,,,,,,,,n,n,n,,,n,,,,,,,,,,,,,n,,,,,n,,,
Dried Unsweetened Mango,145119,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,n,,,,,,,,,,,,,,,n,,,,,,,,
Brazil Nuts,3058,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Rainbow Trout Fillet,7643,,,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Ghee,265180,,,,n,,,,,,,n,,n,,,,,n,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,n,,
Smoked Salmon,6176,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,n,,,,,n,n,n,
Macadamia Nuts,2667,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,n,,,,,,,,,,,,,,,,,,
Assorted Olives,1583,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Lamb Shoulder Chop,6939,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Dried Rosemary,3822,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Dulse,216456,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Thai Chili,2595,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Cajun Spice,80997,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Frozen Green Beans,2452,,,,n,,,,,,,,,,,,,,,n,,,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,
Jasmine Rice,211193,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,,,,,,,,,n,,,n,,,n,,,,,n,,,
Tofu,6779,,,,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Avocado Oil,6062,,,,,,,,,,,,,,,,,,,,,,,n,,,n,,n,,,,,n,,,,,,,,,,,,,,,,
Yellow Split Peas,4917,,,,n,,,,,,,,,,,,,n,,n,,n,,,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Stewing Beef,3299,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Coriander,3411,,,,n,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Beef Broth,5378,n,,,,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,,,,,,n,,n,,,,,,,,,,,n,n,
Green Apple,692,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Swiss Cheese,3740,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Coconut Aminos,100555,,,,,,,,,n,,,,,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Plain Greek Yogurt,45665,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Unsweetened Shredded Coconut,74710,,,,,,,,,n,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Coconut Sugar,59110,,,n,,,,,,n,,,,n,,,,n,,,,,n,,n,n,n,n,n,,,,,,,,,,,,,n,,n,,,,,,
All Purpose Gluten-Free Flour,145282,,,,n,,,,,,,,,,,,n,n,,,,,,n,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Yellow Potato,2515,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,,,n,,,,,,,,,,,n,,,,,,,,
Sliced Almonds,92187,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Broccoli Slaw,110678,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Corn Tortilla,131449,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,n,,,
Papaya,28622,,,n,,,,,,,,,,,n,,,n,,,,,n,n,n,,,n,,,,,,,,,,,,,,,,,,,,,,
Fresh Oregano,3817,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Tuna Steak,7648,,,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Bean Sprouts,54328,,,,,n,,,,,,,,,,,,,,n,,,,,n,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Lean Ground Pork,861,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Frozen Cauliflower,2888,,,,,,,,,,,,,,,,,,,,,n,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Maca Powder,194732,,,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Schisandra Berry Powder,73763,,,,,,,,,,,,,,n,,,,,,,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Unsweetened Coconut Yogurt,85206,,,,,,,,,n,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Plain Rice Cake,2739,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Granola,4135,,,n,n,,,,,,,,,n,,,n,n,,,,n,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,,,,
Pumpkin Seed Butter,59967,,,,,,,,,,,,,,,,,,,,,,,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Beef Brisket,1096,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Crushed Pineapple,64533,,,n,,,,,,,,,,,n,,,n,,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,n,,,
Celery Salt,41811,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Tapioca Flour,50051,,,n,,,,,,,,,,,,,,n,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Rye Bread,5173,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Greek Seasoning,81150,n,,,,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Activated Charcoal Powder,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,n,,,
Dried Onion Flakes,2491,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Whole Grain Crackers,4327,,,,n,,,,,,,,,,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Mixed Beans,6229,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Chickpea Flour,6777,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Coconut Butter,46579,,,,,,,,,n,,,,,,,,,,,,n,,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,
Lamb Shank,6804,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Mayonnaise,3498,,,n,n,,,,,,,,n,n,,,,,,,,,,n,,,n,n,,,,,,n,,,,,,,,n,,,,,n,n,,
Rice Vinegar,269545,,,n,n,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,n,,,n,,,,,,,,
Ground Bison,7782,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Tempeh,6761,,,,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Hazelnuts,3070,,,,n,,,,,,,,,,,,,,,,,n,,n,,n,,n,,,,n,,,,,,,,,,,,,,,,,,
Chickpea Pasta,286700,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,
Sweet Potato Chips,70972,,,n,,,,,,,,,,,,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Miso Paste,70401,,,n,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,n,,n,n,,,,,n,,,
Buckwheat Soba Noodles,79321,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,
Poultry Seasoning,3820,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Butter,5919,,,,n,,,,,,,n,,n,,,,,n,,,,,,,,,,n,,,,,n,,n,,,,,,,,,,,,n,,
Pork Chop,727,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Celery Root,2889,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Rutabaga,943,,,n,,,,,,,,,,,,,,n,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Thai Basil,4721,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Culantro,2486,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Star Anise,3805,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Pho Noodles,129104,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Lemon Juice,236,,,,,,,,n,,,,,,n,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoked Paprika,3818,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Thai Red Curry Paste,266391,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
White Chocolate Chips,142931,,,n,n,,,,,,,n,,n,,,,n,n,,,n,n,n,,n,,n,,,,,,,,n,,,,,,n,,n,,,n,,,
Cornmeal,2186,,,n,n,,,,,,n,,,n,,,n,n,,,,,n,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Cardamom,3408,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Top Sirloin Steak,1217,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Cottage Cheese,4668,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Pesto,4068,n,,,n,,,,,,,,,,,,,,,,,n,,n,n,n,n,n,,,,,,n,,,,,,,,,,,,,,,,
Shallot,2988,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Whole Wheat Tortilla,6570,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Orange Bell Pepper,1872,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Hot Sauce,268330,n,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,n,,,
Canned Wild Salmon,6212,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Shirataki Noodles,47180,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,n,,,
Chicken Thighs with Skin,4874,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Yellow Curry Paste,54048,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Brown Rice Cake,64233,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Watercress,2557,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Pickle,1868,,,,,,,,,,,,,,,,,,,,,,,n,n,,n,n,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,1623,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Microgreens,172381,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Dry Black Beans,6223,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Bread Crumbs,7417,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Monk Fruit Sweetener,51260,,,,n,,,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,n,,,,,n,,,
Whole Rotisserie Chicken,176184,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
