Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Lamb Sausage,153002,n,,n,,,,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,n,,n,,,,,n,,,,,n,n,n,
Kohlrabi,913,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,n,,,,,,,,
Watermelon Radish,940,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Tomato Sauce,1563,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,n,,,,,,,n,,,n,,,,,
Whole Wheat Penne,265216,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Cacao Nibs,116278,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Daikon,940,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Pork Sausage,7074,n,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,n,,n,n,,,,n,,,,,n,n,n,
Dry Lentils,4909,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Wild Rice,2215,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,,,,
Basmati Rice,83422,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,,,,,,,,,n,,,n,,,n,,,,,n,,,
Whole Grain Bread,7403,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Gluten-Free Bread,6591,,,n,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Cheddar Cheese,5903,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Sliced Turkey Breast,5430,,,n,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,n,,,,n,n,n,n,
Sole Fillet,6685,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Egg Whites,4672,,,,n,,,,,,,,n,n,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,n,,
"Chicken Leg, Boneless with Skin",4867,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Seed Crackers,493,,,,n,,,,,,,,,,,,,n,,,,,,,,n,,,,,,,,,,n,,,n,,,n,,,,,n,,,
Jackfruit,7176,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Fiddleheads,1894,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Pepper,2595,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Orange Juice,1587,,,n,,,,,n,,,,,,n,,,n,,,,,n,n,n,n,n,,n,,,,,,,,,,,,,n,,,,,,,,
Eddo,1797,,,n,,,,,,,,,,,,,,n,,,,n,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Chinese Five Spice,84955,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,n,,,,n,,,,,,,,,,,n,n,,,,,,,
Frozen Broccoli,2868,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Okra,1749,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Lite Coconut Milk,277048,,,,,,,,,n,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Unsweetened Cashew Milk,87238,,,n,n,,,,,,,,,,,,,,,,,n,,n,n,n,,n,,,,n,,,,,,,,,,,,,,,,,,
Brown Basmati Rice,210904,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Turkey Thigh,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,n,n,
Beef Liver,1940,,,n,,,n,,,,,,,n,,,,,n,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Fresh Sage,3424,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Plain Coconut Milk,118393,,,,,,,,,n,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Ricotta Cheese,3340,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Buckwheat Groats,3174,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Whole Wheat Flatbread,225103,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Goji Berries,5521,,,n,n,,,,,,,,,,n,,,n,,,,n,,n,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Lentil Macaroni,72286,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,n,,,
Roasted Red Peppers,148581,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Plain Kefir,226247,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Ground Allspice,3804,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,n,,,,,,,
Ground Sumac,3413,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Zest,238,,,,,,,,n,,,,,,n,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,
Collagen Powder,2088,,,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,n,,,n,,n,,,,,n,n,n,
Za'atar Spice,109084,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Plain Sheep's Milk Yogurt,153496,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,,n,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Black Rice,39162,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,,,,
Pork Hock,713,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Cauliflower Rice,320912,,,,,,,,,,,,,,,,,,,,,n,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Chicken Wings,4879,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Bee Pollen,179081,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,n,,,,,,n,,
Canned Jackfruit,679,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,,,,,,,,,,,,,,,,n,,,,,n,,,
Iceberg Lettuce,1737,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Whole Flax Seeds,1903,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Udon Noodles,45589,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Chinese Cooking Wine,139248,,,,n,,,,,,,,,,,,,,n,,,,,n,,,n,n,,,,,,,,n,,,n,,,,,,,,n,,,
Grated Carrot,2882,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Quinoa Penne,128716,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,
Russet Potato,2519,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,,,n,,,,,,,,,,,n,,,,,,,,
Coconut Whipped Cream,218981,,,,,,,,,n,,,,,,,,n,,,,,,,,n,n,,n,,,,,,,,,,,,,,,,,,n,,,
Brown Rice Pasta Shells,80406,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Sardines,7628,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,n,n,
Pure Aloe Juice,271706,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Frozen Pineapple,1613,,,n,,,,,,,,,,,n,,,n,,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Unsweetened Rice Milk,166612,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Spelt Flour,74709,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Radicchio,1053,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Grapefruit Juice,263,,,n,,,,,n,,,,,,n,,,n,,,,n,n,n,n,,n,,n,,,,,,,,,,,,,n,,,,,,,,
White Button Mushrooms,1740,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Frozen Spinach,1776,,,,,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Cremini Mushrooms,1740,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Cranberry Sauce,6450,,,n,n,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,,n,,,,,,,n,,,,,,n,,,,,,,,
Orzo,161861,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Sugar Free Ketchup,223891,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,n,,,
Whole Grain Mustard,136686,,,,n,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Peppermint Extract,5960,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Dried Apricots,6430,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Couscous,2188,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Pearl Barley,2773,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,,,,
Vegan Mayonnaise,274355,,,n,n,,,,,,,,,,,,,,,n,,,,n,n,n,n,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Oat Crackers,45496,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,n,,,
Baby Pickles,196645,,,,,,,,,,,,,,,,,,,,,,,n,n,,n,n,,,,,,,,,,,,,,,,,,,n,,,
Fish Sauce,7020,,,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,n,n,n,
Cashew Cream Cheese,111202,,,,n,,,,,,,,,,,,,,,,,n,,n,n,n,,n,,,,n,,n,,,,,,,,,,,,,n,,,
Light Rye Crisp Bread,265798,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Dry Chickpeas,6245,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Gluten-Free Ramen Noodles,45585,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Fava Beans,6242,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Corn Tortilla Chips,605,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,n,,,
Whole Wheat Pita,7405,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Black Eyed Peas,6224,,,,n,n,,,,,,,,,,,,n,,n,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Smoked Herring Fillet,7605,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,n,,,,,n,n,n,
Lime Juice,645,,,,,,,,n,,,,,,n,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey,228135,,,n,,,,,,,,,,n,,,,n,,,,n,n,,,,n,,n,,,,,,,,,,,,,,,n,,,,n,,
Scallops,6709,,,,,,,,,,,,,,,,,,n,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Mackerel Fillet,7608,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Dried Chives,2564,n,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Pork Belly,301,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Cane Sugar,3163,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Turkey Sausage,7106,n,,n,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,n,,n,,,,,n,,,,n,n,n,n,
Arborio Rice,126155,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Baby Kale,230230,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Havarti Cheese,193547,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Chorizo,232374,n,,,n,,,,,,,,,n,,,,,n,,,,,n,n,n,n,n,n,,n,,,,n,,n,n,,,,n,n,,,,n,n,n,
Blood Orange,2406,,,n,,,,,n,,,,,,n,,,n,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Quick Oats,6393,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,n,,,
Farro,145477,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Lamb Loin,4980,,,n,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Napa Cabbage,2464,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Ahi Tuna,120322,,,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Psyllium Husks,235795,,,,n,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Calabash Squash,1721,,,n,,,,,,,,,,,,,,n,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Psyllium Husk Powder,,,,,n,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Instant Yeast,71355,,,n,,,,,,,,,,n,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,n,,,,,n,,,
Calrose Rice,195135,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Mussels,6705,,,,,,,,,,,,,,,,,,n,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Golden Beet,1634,,,n,,,,,,,,,,,,,,n,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Relish,70344,n,,,,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,n,,,,,,,n,,,,,n,,,
Deli Roast Beef,5897,,,n,,,n,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,n,,,,,n,n,n,
Blackstrap Molasses,165657,,,n,,,,,,,,,,n,,,,n,,,,n,n,,n,n,n,n,,,,,,,,,,,,,,n,,n,,,n,,,
Chili Flakes,63349,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Sunflower Sprouts,139546,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Freekeh,213438,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Whole Wheat Hot Dog Bun,140019,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Coconut Meat,118896,,,,,,,,,n,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Probiotic Capsules,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,
Dried Parsley,3419,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Juice,149516,,,n,,,,,,,,,,,n,,,n,,,,,n,n,n,,n,n,n,,,,,,,,,,,,,n,,,,,n,,,
Tarragon,3426,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Chicken Liver,3549,,,,,,,n,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Anchovy,6672,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Bone Broth,211360,n,,,,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,,,,,,n,,n,,,,,,,,,,,n,n,
Flank Steak,1922,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Coriander Seed,3411,,,,n,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Fennel Seed,3812,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Oyster Mushrooms,1069,,,,,,,,,,,,,,,,,,,,,,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Sourdough Bread,212184,,,n,n,,,,,,,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Lemongrass,1062,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Ground Lamb,6859,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
White Pita Bread,7404,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Rice Crackers,5650,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Sriracha,3675,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,n,,,
Orange Zest,1592,,,,,,,,n,,,,,,n,,,n,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Halloumi,63744,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Green Chili Pepper,2986,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Hemp Oil,184627,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,n,,,,,n,,,,,,,,n,,,,,,,,
Liquid Smoke,83634,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,n,,,
"Chicken Breast, Cooked",4023,,,,,,,n,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
"Bacon, Cooked",403,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,,,,,,n,n,n,
"Shrimp, Cooked",7669,,,,,,,,,,,,,,,,,,n,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
"Turkey Breast, Cooked",7005,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,n,,n,n,
Pecorino Romano Cheese,72027,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Jicama,2562,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Millet,2191,,,,n,,,,,,,,,,,,n,n,,,,,,,,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
"Chicken Leg, Bone-in",4874,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Fire Roasted Diced Tomatoes,173969,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,n,,,
"Turkey Breast, Skin on",4017,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,n,,n,n,
Brown Rice Fettuccine,206770,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Carob Powder,6244,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,n,,,,,n,,,
Dried Peppermint Leaves,4728,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Cannellini Beans,225775,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Mozzarella Cheese,79835,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Dried Chamomile Flowers,77987,,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Dried Lavender Flowers,77987,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Rigatoni,154793,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Whole Duck,4897,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
Dry Green Lentils,4909,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Chinese Broccoli,1893,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
"Brown Rice Fusilli, Cooked",4515,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Monkfish Fillet,6165,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Pork Loin Roast,803,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
Dry Sherry,324078,,,,,,,,,,,,,,,,,,n,,,,,,,,n,n,,,,,,,,,,,,,,n,,,,,n,,,
Purple Yam,2560,,,n,,,,,,,,,,,,,,n,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Harissa,178429,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,n,,,,,,,,n,,n,,,,,
Dry Yellow Lentils,261441,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
"Pistachios, In Shell",222090,,,n,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Sea Bass Fillet,7631,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Soda Water,7331,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Cranberry Juice,606,,,n,n,,,,,,,,,n,n,,,n,,,,,n,n,n,n,n,,n,,,,,,,,,,,,,n,,,,,n,,,
Black Tea,5716,,,n,,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Tomato Juice,3034,,,n,n,,,,,,,,,n,,,,n,,,,,,n,n,n,n,,n,,n,,,,,,,,,,,n,,,n,,n,,,
Everything Bagel Seasoning,252846,n,,,n,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,n,,,,,,,n,,,,,,,,
Hibiscus Tea,120459,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Reishi Powder,182804,,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,
White Pepper,3422,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,
Shishito Peppers,232735,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
English Muffin,267024,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Cumin Seed,3412,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Cajun Seasoning,145140,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
