Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Sourdough Baguette,215488,,,n,n,,,,,,,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Chipotle Powder,234085,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,n,,n,,,,,,,,,,,,n,,,,,,,
Cornstarch,2187,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Pickle Brine,50530,,,,n,,,,,,,,,,,,,,,,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,n,,,
Whipping Cream,3348,,,n,n,,,,,,,n,,n,,,,,n,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Garlic Scapes,2495,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
"Turkey Thigh, Bone-in",4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,n,n,
Almond Extract,213368,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,n,,,,,,,,,,,,,n,,,
Icing Sugar,2145,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Dried Guajillo Chilis,67833,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Worcestershire Sauce,4099,n,,n,n,,,,,,,,,n,,,,n,n,,,,n,n,n,n,n,n,n,,n,,,,n,n,,,,n,,n,,n,,,n,n,n,
"Cow's Milk, Whole",3754,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Wonton Wrapper,5291,,,n,n,,,,,,,n,n,n,,n,n,n,n,,,,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,n,,n
Salmon Steak,6175,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Cilantro Lime Dressing,237984,n,,,n,,,,n,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,n,,,,,,,,,,n,,,,,,
Whole Wheat Spaghetti,1404,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Apricot,4186,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Peanut Sauce,6559,,,n,n,,,,,,,,,n,,n,,,,n,,n,,n,n,n,n,n,n,,,n,,,,n,,,,,n,n,,,,,n,,,
Lemon Pepper Seasoning,323582,,,,n,,,,n,,,,,,,,,,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Honey Mustard,110993,,,n,n,,,,,,,,,n,,,,n,,,,n,n,n,,,n,n,n,,,,,,,,,,,,,,,n,,,,n,,
Vegan Caesar Dressing,220612,n,,n,n,,,,n,,,,,n,,n,,n,,n,,n,,n,n,n,n,n,n,,n,,,n,,n,,,,,n,n,,n,,,n,,,
Red Potato,2518,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,,,n,,,,,,,,,,,n,,,,,,,,
String Cheese,224492,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,n,,,,,,,n,,,,,,n,,,,,n,n,,
Mixed Nuts,3077,,n,n,n,,,,,,,,,,,,,,,,,n,,n,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,
Tartar Sauce,4315,n,,n,n,,,,n,,,,n,n,,,,n,n,,,,n,n,n,n,n,n,n,,n,,,n,n,n,,,,n,,n,,n,,,n,n,n,
Pepperoncini Peppers,236556,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,n,,,
Yellow Beans,2450,,,,n,,,,,,,,,,,,,,,n,,n,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,
King Mackerel Steak,7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Scotch Bonnet,1065,,,,n,,,n,,,,,,n,,,,,,,,,,,,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Callaloo,976,n,,,,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Cannelloni Shells,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
"Veal Shank, Bone-in",6921,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Hominy,2190,,,n,n,,,,,,n,,,n,,,n,n,,,,,n,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Herbes de Provence,62176,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Candied Ginger,197015,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Orange Extract,213372,,,n,,,,,n,,,,,,n,,,,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,n,,,
Honeynut Squash,961,,,n,,,,,,,,,,,,,,n,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Dough,118176,,,n,n,,,,,,,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,n,,,n,,,n
Pizza Sauce,5369,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,n,n,,,,,,,n,,,n,,n,,,
Soy Milk,23139,,,,n,n,,,,,,,n,n,,,,,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Puff Pastry,5279,,,n,n,,,,,,,n,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,,,,n,n,,n
Apple Cider,196966,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Silken Tofu,6781,,,,n,n,,,,,,,,n,,,,,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Jerusalem Artichokes,1725,,,,,,,,,,,,,,,,,n,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
"Soy Sauce, Low Sodium",4962,,,n,n,n,,,,,,,,n,,n,,,,n,,,,n,n,n,,n,n,,,,,,,n,,,,,n,n,,,,,n,,,n
Brown Sugar,1322,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Jumbo Pasta Shells,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,n,,,n,,,n
Plain Goat Milk Yogurt,110058,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Bagel,7388,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Corn Flour,2238,,,n,n,,,,,,n,,,n,,,n,n,,,,,n,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Whole Wheat Bagel,26678,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Broccoli Sprouts,247217,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Apple Chips,28509,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Sun Dried Tomato Pesto,303137,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,n,,,,,,,,n,,,n,,,,,
Smoked Oysters,4470,,,n,,,,,,,,,,n,,,,,n,,,,,n,,n,,,,,,,,,,,,,,n,,n,,,,,n,n,n,
Quince,652,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,n,,,,,n,,,,,,,,,,,,,,,,,,,
Dried Green Peas,4917,,,n,n,,,,,,,,,,,,,n,,n,,n,,,n,,,n,,,,,,,,n,,,,,,,,,,,,,,
Anchovy Paste,199776,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,n,,,,,,n,,,,,,,n,n,n,
Spelt Tortilla,139761,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,,,n
Canned Clams,4465,,,n,,,,,,,,,,n,,,,,n,,,,,n,,n,,,,,,,,,,,,,,n,,n,,,,,,n,n,
Blueberry Jam,302032,,,n,n,,,,,,n,,,n,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,n,,,,,,n,,n,,,,,,
White Bread,7413,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Frozen Falafel,4944,n,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,,,
Canned Peaches,2418,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,n,,,
Semolina,2204,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,n,,n,n,,,,,,,n,,,,,,n,,,,,,,,n
Canned Beets,2455,,,n,,,,,,,,,,,,,,n,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,n,,,
Moose Roast,96,,,,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Farfalle,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Pancetta,187473,,,n,,,,,,,,,,,,,,,n,,,n,,n,,n,,n,n,,,,,,,,n,n,,,,,,,,,n,n,n,
Macaroni,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Chuck Roast,1982,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Brown Rice Lasagna Sheets,248681,,,n,n,,,,,,,,n,n,,,n,n,,,,,n,,n,n,,n,,,n,,,,,n,,,n,,,n,,,,,n,n,,
Chestnuts,2679,,,,n,,,,,,,,,,,,,n,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Linguine,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
"Chestnuts, In Shell",3063,,,,n,,,,,,,,,,,,,n,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Goose Breast,4902,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
Mediterranean Spice Blend,126237,n,,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Pita Chips,5636,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,,,n
Dried Mint,3817,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Water Chestnuts,66411,,,,,,,,,,,,,,,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Hearts of Palm,1058,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,
Steak Spice Seasoning,197032,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,,,,,,,,
Black Tea Leaves,106290,,,n,,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Sauce,3656,n,,n,n,,,,,,n,,,n,,n,n,n,,n,,n,n,n,n,n,n,n,n,,,,,,n,n,,,,,n,n,,n,,,n,,,n
Cheese Ravioli,147757,n,,n,n,,,,,,,n,n,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,n,,n
Dumpling Wrappers,115518,,,n,n,,,,,,n,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,,,n
Venison Sausage,58778,n,,n,,,,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,n,,,,,n,n,n,
Ground Elk,6914,,,,,,,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Amaranth,3171,,,,n,,,,,,,,,,,,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Nigella Seeds,245588,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,n,,,,,,
Sprinkles,144392,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Ground Venison,234596,,,,,,,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Caesar Dressing,2366,n,,n,n,,,,n,,,n,n,n,,,,,n,,,n,,n,n,n,n,n,,,,,,n,,n,,,,,,n,,,,,n,n,,
Potato Starch,50049,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,,,n,,,,,,,,,,,n,,,,,,,,
Matzo,5229,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Matzo Meal,67321,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Ranch Dressing,6082,n,,n,n,,,,n,,,n,n,n,,,,,n,,,n,,n,n,n,n,n,,,,,,n,n,n,,,,,,n,,,,,n,n,,
White Distilled Vinegar,4726,,,n,,,,,,,,,,,,,,,n,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Sour Cream,3746,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Cotija Cheese,3387,,,,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Whole Sea Bass,175792,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Mahi Mahi Fillet,4448,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Frozen Broad Beans,2866,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Vindaloo Spice Blend,46636,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,,,,
Pinto Beans,7689,,,,n,n,,,,,,,,n,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Sweet Chili Sauce,305289,n,,n,n,,,,,,n,,,n,,,,n,,,,n,n,n,n,n,n,n,n,,n,,,,,,,,,,,n,n,n,,,n,,,
Apricot Jam,3134,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Submarine Bun,188007,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Graham Crackers,6572,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,n,,,n,n,,n
Marshmallows,484,,,n,n,,n,,,,n,,,n,,,n,n,n,,,,n,n,n,n,n,n,n,,,,,,,n,n,,,,,n,,n,,,n,n,n,
Creamed Corn,1852,,,n,n,,,,,,n,,,n,,,n,n,,,,n,n,n,n,n,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Labneh,119602,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Beef Jerky,25,,,n,,,n,,,,,,,n,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,n,,,,,n,n,n,
Pickerel Fillet,6169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Squash Blossoms,1759,,,,,,,,,,,,,,,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Bamboo Shoots,1701,,,,,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Sambal Oelek,77501,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,n,,,,,,,,n,n,,,,n,,,
Salsa Verde,4313,n,,,n,,,,n,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,n,,,,,,,n,n,,n,,,,,
Dandelion Greens,1715,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Tart Cherry Juice,296,,,n,,,,,,,,,,,n,,,n,,,,n,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Dry White Navy Beans,6234,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Shawarma Spice Blend,71931,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,,,,,,,,n,,,,,,,,
Hard Taco Shell,191708,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,n,,,
Fajita Seasoning,4732,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Whole Wheat Rotini Pasta,1404,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Balsamic Glaze,307463,,,n,,,,,,,,,,,,,,n,,n,,n,n,n,n,,n,n,,,,,,,,,,,,,,n,,,,,n,,,
Fresh Tarragon,4721,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Amchar Masala,71939,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,n,,,,,,,
Kashmiri Chili Powder,3808,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Chai Tea,5716,,,n,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Whipped Cream,3348,,,n,n,,,,,,,n,,n,,,,n,n,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,n,,,n,n,,
Gluten-Free Bread Crumbs,52375,,,n,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Prepared Pie Crust,421,,,n,n,,,,,,,n,,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,n,,,n,n,,n
Panang Curry Paste,165453,,,n,n,,,,,,,,,n,,,,n,,n,,n,n,n,n,n,n,n,,,n,n,,,,n,,,,n,,n,n,n,,,,n,n,
Tulsi Tea,323006,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Prepared Horseradish,5961,,,n,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,n,,,,n,,,
Pickled Turnip,30723,,,n,,,,,,n,,,,,,,,n,,,,,,n,n,n,n,n,,,,,,,,,,,n,,,n,,n,,,n,,,
Pappardelle Pasta,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Croissant,7476,,,n,n,,,,,,,n,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,,,,n,n,,n
Clams,6703,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Plain Coconut Kefir,85206,,,,,,,,,n,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Corned Beef,2689,,,n,,,n,,,,,,,n,,,,,,,,,,n,,,,n,n,,n,,,,,,n,,,,,,,,,,n,n,n,
Muffuletta Salad,152048,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,n,,n,,,,,,,,,,,n,,,
Mortadella,7062,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,n,,,,,n,n,n,
"Chocolate Milk, Low Fat",3370,,,n,n,,,,,,,n,,n,,,,n,n,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,n,,,n,n,,
Milk Chocolate Chips,240568,,,n,n,,,,,,,n,,n,,,,n,n,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,n,,,n,n,,
Burrata,141431,,,n,n,,,,,,,n,,n,,,,,,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Focaccia,434,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,n,n,,,,,,n,,n,,,,,,n,,,,,n,,,n
Pickled Chipotle Peppers,65280,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,,n,,,,,,,n,n,,,n,,,
Wasabi Peas,5646,,,n,n,,,,,,,,,n,,n,n,n,,n,,n,n,n,n,n,,n,,,n,,,,,n,,,,,,n,n,,,,n,,,n
Passata,134520,,,,n,,,,,,,,n,n,,,,,,,,n,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Instant Coffee,4382,,,,n,,,,,,,,,n,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,n,,,
Bulgur,3177,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Panko Bread Crumbs,71326,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,n
Plain Skyr,52192,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Lo Mein Noodles,58974,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
"Prime Rib, Bone-In",3272,,,,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
"Beef Short Ribs, Bone-In",3272,,,,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Pomegranate Molasses,225293,,,n,n,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Gingersnap Cookies,7445,,,n,n,,,,,,,n,,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,n,n,,n,,,n,n,,n
Pickled Jalapeno Pepper,2569,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,,n,,,,n,,,
Plain Coconut Kefir Yogurt,85206,,,,,,,,,n,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,n,,,,,,
Beef Ravioli,225499,n,,n,n,,n,,,,,n,n,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,,,n,n,n,,,,n,,,,,n,n,n,n
Adobo Seasoning,62554,n,,,n,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,n,n,,,,,,,
Sweet & Sour Sauce,6555,n,,n,n,,,,,,n,,,n,,,,n,,,,n,n,n,n,n,n,n,n,,n,,,,,n,,,,,,n,,n,n,,n,,,
Cavatappi Pasta,311103,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Mustard Greens,1745,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Vegetable Oil,191173,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,,,,n,,,,,n,,n,,,,,n,n,,,,,n,,,
Stewing Bison,5087,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Toothpicks,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Sesame Ginger Dressing,198288,n,,n,n,n,,,,,,,,n,,n,n,n,,n,,n,n,n,n,n,n,n,n,,,,,n,,n,,,n,,n,n,,n,,,n,,,n
Beef Stick,1339,n,,n,n,,n,,,,,,,n,,,,n,,,,n,,n,,,n,n,n,,,,,,,n,n,,,,,n,,,,,n,n,n,
Tart Shells,7554,,,n,n,,,,,,,n,,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,n,,,n,n,,n
Mung Beans,6745,,,,n,n,,,,,,,,,,,,n,,n,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,n,,,,
Turkey Stick,150173,n,,,n,,,,,,,,,n,,,,,,,,n,,n,,,n,n,n,,n,,,,,,n,,,,,n,,,,n,n,n,n,
Serrano Pepper,1884,,,,n,,,,,,,,,n,,,,,,,,,,,,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Honey Mustard Dressing,3532,,,n,n,,,,,,,,,n,,,,n,,,,n,n,n,,,n,n,n,,,,,n,,,,,,,,,,n,,,,n,,
Veal Leg Cutlet,5132,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Frozen Acai,290419,,,,,,,,,,,,,,n,,,n,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Mascarpone Cheese,182001,,,n,n,,,,,,,n,,n,,,n,,n,,,n,,n,n,,,n,,n,,,,,,n,,,,,,n,,,,,n,n,,
Frozen Pierogies,110498,n,,n,n,,,,,,,n,n,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,n,,,n,n,n,,,,,,n,,,,,n,n,,n